batter,total_runs,total_balls,dismissals,batting_average,strike_rate,total_wickets,total_runs_conceded,total_overs,economy,bowling_average,bowling_strike_rate,wickets_per_match,overall_score,fit_label,matches_played,batting_style,bowling_style
RD Gaikwad,2433.0,1807.0,57.0,42.68421052631579,134.64305478693967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.66363265662773,1,66.0,Anchor,Unclassified
SO Hetmyer,1195.0,804.0,36.0,33.19444444444444,148.6318407960199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.91314262023218,1,61.0,Aggressive,Unclassified
JC Buttler,2250.0,1599.0,59.0,38.13559322033898,140.71294559099437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.42426940566668,1,62.0,Aggressive,Unclassified
RR Rossouw,420.0,270.0,15.0,28.0,155.55555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.77777777777779,1,17.0,Aggressive,Unclassified
0,0.0,0.0,0.0,0.0,0.0,11.0,124.0,16.0,7.75,11.272727272727273,8.727272727272727,2.75,201.9,1,4.0,Unclassified,Unclassified
SV Samson,2276.0,1580.0,64.0,35.5625,144.0506329113924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.8065664556962,1,75.0,Aggressive,Unclassified
Dhruv Jurel,417.0,274.0,14.0,29.785714285714285,152.18978102189783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.98774765380605,1,23.0,Aggressive,Unclassified
MR Marsh,512.0,369.0,21.0,24.38095238095238,138.75338753387533,17.0,360.0,42.0,8.571428571428571,21.176470588235293,14.823529411764707,1.0625,90.94429926442122,1,23.0,Anchor,Run-leaking
PJ Cummins,438.0,304.0,23.0,19.043478260869566,144.07894736842107,47.0,1433.0,164.0,8.737804878048781,30.48936170212766,20.93617021276596,1.0930232558139534,91.8237431061315,1,43.0,Aggressive,Run-leaking
YBK Jaiswal,1608.0,1101.0,50.0,32.16,146.04904632152588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.10452316076294,1,53.0,Aggressive,Unclassified
RK Singh,839.0,596.0,24.0,34.958333333333336,140.7718120805369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.86507270693512,1,34.0,Aggressive,Unclassified
DA Miller,1101.0,816.0,29.0,37.96551724137931,134.9264705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4459939148073,1,47.0,Anchor,Unclassified
K Rabada,137.0,124.0,10.0,13.7,110.48387096774192,90.0,1988.0,240.0,8.283333333333333,22.08888888888889,16.0,1.4285714285714286,122.40095238095239,1,63.0,Defensive,Average
Shubman Gill,2750.0,2062.0,73.0,37.67123287671233,133.36566440349176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.51844864010205,1,77.0,Anchor,Unclassified
V Kohli,2656.0,2061.0,66.0,40.24242424242424,128.86948083454635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5559525384853,1,76.0,Anchor,Unclassified
Ishan Kishan,2055.0,1497.0,60.0,34.25,137.2745490981964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7622745490982,1,67.0,Anchor,Unclassified
S Dhawan,2190.0,1708.0,56.0,39.107142857142854,128.22014051522248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.66364168618267,1,63.0,Anchor,Unclassified
RA Jadeja,1049.0,764.0,32.0,32.78125,137.30366492146598,53.0,1705.0,226.0,7.54424778761062,32.16981132075472,25.58490566037736,0.7571428571428571,83.72666488713008,1,70.0,Anchor,Average
C Green,707.0,472.0,20.0,35.35,149.78813559322032,20.0,634.0,74.0,8.567567567567568,31.7,22.2,0.6896551724137931,85.26067555720536,1,29.0,Aggressive,Run-leaking
JJ Bumrah,33.0,41.0,4.0,8.25,80.48780487804879,89.0,1483.0,223.0,6.650224215246637,16.662921348314608,15.03370786516854,1.5892857142857142,132.6970531710442,1,56.0,Defensive,Economical
KD Karthik,1188.0,798.0,49.0,24.244897959183675,148.87218045112783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.55853920515575,1,71.0,Aggressive,Unclassified
DA Warner,1861.0,1451.0,50.0,37.22,128.2563749138525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.73818745692625,1,58.0,Anchor,Unclassified
PP Shaw,1294.0,886.0,53.0,24.41509433962264,146.04966139954854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.23237786958559,1,54.0,Aggressive,Unclassified
JM Sharma,730.0,501.0,32.0,22.8125,145.70858283433134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.26054141716567,1,36.0,Aggressive,Unclassified
SS Iyer,1543.0,1219.0,44.0,35.06818181818182,126.5791632485644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.82367253337311,1,54.0,Anchor,Unclassified
JM Bairstow,1144.0,840.0,40.0,28.6,136.1904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.3952380952381,1,40.0,Anchor,Unclassified
Q de Kock,1708.0,1281.0,56.0,30.5,133.33333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.91666666666666,1,58.0,Anchor,Unclassified
AR Patel,879.0,674.0,36.0,24.416666666666668,130.4154302670623,55.0,1633.0,235.0,6.948936170212766,29.69090909090909,25.636363636363637,0.8088235294117647,81.58294288174264,1,68.0,Anchor,Economical
RR Pant,1555.0,1198.0,48.0,32.395833333333336,129.79966611018364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.09774972175849,1,57.0,Anchor,Unclassified
Abishek Porel,360.0,246.0,17.0,21.176470588235293,146.34146341463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.75896700143473,1,17.0,Aggressive,Unclassified
RA Tripathi,1480.0,1083.0,55.0,26.90909090909091,136.65743305632503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.78326198270797,1,61.0,Anchor,Unclassified
MA Agarwal,1403.0,1054.0,48.0,29.229166666666668,133.11195445920302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.17056056293484,1,49.0,Anchor,Unclassified
GJ Maxwell,1374.0,941.0,50.0,27.48,146.01487778958554,25.0,704.0,90.0,7.822222222222222,28.16,21.6,0.6756756756756757,82.07954527322221,1,62.0,Aggressive,Average
P Simran Singh,745.0,518.0,35.0,21.285714285714285,143.82239382239382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.55405405405405,1,34.0,Aggressive,Unclassified
AT Rayudu,1048.0,809.0,38.0,27.57894736842105,129.54264524103831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.56079630472968,1,47.0,Anchor,Unclassified
SM Curran,792.0,627.0,33.0,24.0,126.3157894736842,51.0,1546.0,165.0,9.36969696969697,30.313725490196077,19.41176470588235,1.02,86.30500797448167,1,50.0,Anchor,Run-leaking
CH Gayle,488.0,385.0,17.0,28.705882352941178,126.75324675324676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.72956455309397,1,17.0,Anchor,Unclassified
SN Thakur,271.0,209.0,20.0,13.55,129.66507177033492,62.0,1741.0,199.0,8.748743718592964,28.080645161290324,19.258064516129032,1.0689655172413792,86.12298471610652,1,58.0,Anchor,Run-leaking
N Wadhera,350.0,261.0,15.0,23.333333333333332,134.09961685823754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.71647509578544,1,16.0,Anchor,Unclassified
Abdul Samad,579.0,408.0,32.0,18.09375,141.91176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00275735294117,1,39.0,Aggressive,Unclassified
R Powell,360.0,254.0,20.0,18.0,141.73228346456693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.86614173228347,1,22.0,Aggressive,Unclassified
DJ Mitchell,351.0,274.0,13.0,27.0,128.1021897810219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.55109489051095,1,15.0,Anchor,Unclassified
M Shahrukh Khan,559.0,414.0,25.0,22.36,135.024154589372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.69207729468599,1,38.0,Anchor,Unclassified
MS Dhoni,811.0,631.0,31.0,26.161290322580644,128.52614896988908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.34371964623486,1,59.0,Anchor,Unclassified
