batter,total_runs,total_balls,dismissals,batting_average,strike_rate,total_wickets,total_runs_conceded,total_overs,economy,bowling_average,bowling_strike_rate,wickets_per_match,overall_score,fit_label,matches_played,batting_style,bowling_style
0,0.0,0.0,0.0,0.0,0.0,12.0,285.0,33.0,8.636363636363637,23.75,16.5,1.0909090909090908,102.0,1,11.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,16.0,432.0,47.0,9.191489361702128,27.0,17.625,1.1428571428571428,104.89483282674772,1,14.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,8.0,239.0,26.0,9.192307692307692,29.875,19.5,1.1428571428571428,104.8945054945055,1,7.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,32.0,903.0,100.0,9.03,28.21875,18.75,1.103448275862069,102.59489655172413,1,29.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,6.0,161.0,20.0,8.05,26.833333333333332,20.0,1.0,96.78,1,6.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,27.0,836.0,108.0,7.7407407407407405,30.962962962962962,24.0,0.9642857142857143,94.76084656084657,0,28.0,Defensive,Average
0,0.0,0.0,0.0,0.0,0.0,47.0,1324.0,167.0,7.92814371257485,28.170212765957448,21.319148936170212,0.9791666666666666,95.57874251497006,0,48.0,Defensive,Average
0,0.0,0.0,0.0,0.0,0.0,66.0,1918.0,239.0,8.02510460251046,29.060606060606062,21.727272727272727,0.9705882352941176,95.02525227664287,0,68.0,Defensive,Average
0,0.0,0.0,0.0,0.0,0.0,21.0,629.0,70.0,8.985714285714286,29.952380952380953,20.0,1.05,99.40571428571428,1,20.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,23.0,708.0,79.0,8.962025316455696,30.782608695652176,20.608695652173914,1.0454545454545454,99.14246260069045,1,22.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,23.0,630.0,65.0,9.692307692307692,27.391304347826086,16.956521739130434,1.0952380952380953,101.83736263736265,1,21.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,15.0,489.0,60.0,8.15,32.6,24.0,0.9375,92.99000000000001,0,16.0,Defensive,Average
0,0.0,0.0,0.0,0.0,0.0,20.0,600.0,76.0,7.894736842105263,30.0,22.8,0.9090909090909091,91.38755980861245,0,22.0,Defensive,Average
0,0.0,0.0,0.0,0.0,0.0,21.0,591.0,67.0,8.82089552238806,28.142857142857142,19.142857142857142,1.0,96.47164179104479,1,21.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,6.0,184.0,17.0,10.823529411764707,30.666666666666668,17.0,1.2,107.67058823529412,1,5.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,7.0,222.0,25.0,8.88,31.714285714285715,21.428571428571427,1.0,96.44800000000001,1,7.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,10.0,351.0,39.0,9.0,35.1,23.4,1.0,96.4,1,10.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,12.0,352.0,50.0,7.04,29.333333333333332,25.0,0.8,85.184,0,15.0,Defensive,Economical
0,0.0,0.0,0.0,0.0,0.0,9.0,258.0,28.0,9.214285714285714,28.666666666666668,18.666666666666668,1.0,96.31428571428572,1,9.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,7.0,209.0,26.0,8.038461538461538,29.857142857142858,22.285714285714285,0.875,89.28461538461539,0,8.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,6.0,143.0,15.0,9.533333333333333,23.833333333333332,15.0,1.0,96.18666666666667,1,6.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,6.0,192.0,20.0,9.6,32.0,20.0,1.0,96.16,1,6.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,22.0,754.0,80.0,9.425,34.27272727272727,21.818181818181817,0.9565217391304348,93.62130434782608,0,23.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,7.0,173.0,15.0,11.533333333333333,24.714285714285715,12.857142857142858,1.1666666666666667,105.38666666666667,1,6.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,10.0,321.0,39.0,8.23076923076923,32.1,23.4,0.8333333333333334,86.70769230769231,0,12.0,Defensive,Average
0,0.0,0.0,0.0,0.0,0.0,4.0,104.0,13.0,8.0,26.0,19.5,0.8,0.0,0,5.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,12.0,412.0,47.0,8.76595744680851,34.333333333333336,23.5,0.8571428571428571,87.92218844984802,0,14.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,11.0,413.0,47.0,8.787234042553191,37.54545454545455,25.636363636363637,0.8461538461538461,87.25433715220949,0,13.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,5.0,173.0,26.0,6.653846153846154,34.6,31.2,0.625,74.83846153846153,1,8.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,5.0,177.0,17.0,10.411764705882353,35.4,20.4,1.0,95.83529411764707,1,5.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,3.0,105.0,13.0,8.076923076923077,35.0,26.0,0.75,0.0,0,4.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,4.0,146.0,17.0,8.588235294117647,36.5,25.5,0.8,0.0,0,5.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,4.0,147.0,17.0,8.647058823529411,36.75,25.5,0.8,0.0,0,5.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,16.0,585.0,64.0,9.140625,36.5625,24.0,0.8421052631578947,86.87006578947368,0,19.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,14.0,525.0,61.0,8.60655737704918,37.5,26.142857142857142,0.7777777777777778,83.22404371584699,0,18.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,5.0,185.0,26.0,7.115384615384615,37.0,31.2,0.625,74.65384615384616,0,8.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,10.0,321.0,32.0,10.03125,32.1,19.2,0.9090909090909091,90.53295454545454,0,11.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,7.0,301.0,31.0,9.709677419354838,43.0,26.571428571428573,0.875,88.61612903225807,0,8.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,8.0,308.0,28.0,11.0,38.5,21.0,1.0,95.6,1,8.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,7.0,240.0,27.0,8.88888888888889,34.285714285714285,23.142857142857142,0.7777777777777778,83.11111111111111,0,9.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,16.0,675.0,72.0,9.375,42.1875,27.0,0.8,84.25,0,20.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,8.0,274.0,29.0,9.448275862068966,34.25,21.75,0.8,84.22068965517241,0,10.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,6.0,161.0,16.0,10.0625,26.833333333333332,16.0,0.8571428571428571,87.40357142857142,0,7.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,9.0,325.0,38.0,8.552631578947368,36.111111111111114,25.333333333333332,0.6923076923076923,78.11740890688259,0,13.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,4.0,116.0,12.0,9.666666666666666,29.0,18.0,0.8,0.0,0,5.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,6.0,266.0,29.0,9.172413793103448,44.333333333333336,29.0,0.75,81.33103448275862,0,8.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,4.0,195.0,28.0,6.964285714285714,48.75,42.0,0.5,0.0,1,8.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,7.0,245.0,29.0,8.448275862068966,35.0,24.857142857142858,0.6363636363636364,74.8025078369906,0,11.0,Defensive,Average
0,0.0,0.0,0.0,0.0,0.0,6.0,149.0,17.0,8.764705882352942,24.833333333333332,17.0,0.6666666666666666,76.49411764705883,0,9.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,5.0,177.0,21.0,8.428571428571429,35.4,25.2,0.625,74.12857142857143,0,8.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,2.0,107.0,12.0,8.916666666666666,53.5,36.0,0.6666666666666666,0.0,0,3.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,14.0,607.0,67.0,9.059701492537313,43.357142857142854,28.714285714285715,0.6666666666666666,76.37611940298507,0,21.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,2.0,91.0,10.0,9.1,45.5,30.0,0.6666666666666666,0.0,0,3.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,3.0,128.0,15.0,8.533333333333333,42.666666666666664,30.0,0.6,0.0,0,5.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,5.0,224.0,23.0,9.73913043478261,44.8,27.6,0.7142857142857143,78.96149068322981,0,7.0,Unclassified,Unclassified
