batter,total_runs,total_balls,dismissals,matches_played_x,batting_average,strike_rate,total_wickets,total_runs_conceded,total_overs,matches_played_y,economy,bowling_average,bowling_strike_rate,wickets_per_match,overall_score
0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,239.0,26.0,7.0,9.192307692307692,29.875,19.5,1.1428571428571428,4.472527472527471
0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,903.0,100.0,29.0,9.03,28.21875,18.75,1.103448275862069,4.008965517241382
0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,161.0,20.0,6.0,8.05,26.833333333333332,20.0,1.0,3.8999999999999986
0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,836.0,108.0,28.0,7.7407407407407405,30.962962962962962,24.0,0.9642857142857143,3.8042328042328037
0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1324.0,167.0,48.0,7.92814371257485,28.170212765957448,21.319148936170212,0.9791666666666666,3.727045908183632
0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1918.0,239.0,68.0,8.02510460251046,29.060606060606062,21.727272727272727,0.9705882352941176,3.3615555008614315
0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,629.0,70.0,20.0,8.985714285714286,29.952380952380953,20.0,1.05,3.0285714285714285
0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,708.0,79.0,22.0,8.962025316455696,30.782608695652176,20.608695652173914,1.0454545454545454,2.9850402761795145
0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,630.0,65.0,21.0,9.692307692307692,27.391304347826086,16.956521739130434,1.0952380952380953,2.520146520146522
0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,489.0,60.0,16.0,8.15,32.6,24.0,0.9375,2.4499999999999993
0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,600.0,76.0,22.0,7.894736842105263,30.0,22.8,0.9090909090909091,2.392344497607654
0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,591.0,67.0,21.0,8.82089552238806,28.142857142857142,19.142857142857142,1.0,2.35820895522388
0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,184.0,17.0,5.0,10.823529411764707,30.666666666666668,17.0,1.2,2.352941176470587
0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,222.0,25.0,7.0,8.88,31.714285714285715,21.428571428571427,1.0,2.2399999999999984
0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,351.0,39.0,10.0,9.0,35.1,23.4,1.0,2.0
0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,352.0,50.0,15.0,7.04,29.333333333333332,25.0,0.8,1.92
0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,258.0,28.0,9.0,9.214285714285714,28.666666666666668,18.666666666666668,1.0,1.571428571428573
0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,209.0,26.0,8.0,8.038461538461538,29.857142857142858,22.285714285714285,0.875,1.4230769230769234
0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,143.0,15.0,6.0,9.533333333333333,23.833333333333332,15.0,1.0,0.9333333333333336
0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,192.0,20.0,6.0,9.6,32.0,20.0,1.0,0.8000000000000007
0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,754.0,80.0,23.0,9.425,34.27272727272727,21.818181818181817,0.9565217391304348,0.2804347826086939
0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,173.0,15.0,6.0,11.533333333333333,24.714285714285715,12.857142857142858,1.1666666666666667,0.26666666666666927
0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,321.0,39.0,12.0,8.23076923076923,32.1,23.4,0.8333333333333334,0.20512820512820795
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,104.0,13.0,5.0,8.0,26.0,19.5,0.8,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,412.0,47.0,14.0,8.76595744680851,34.333333333333336,23.5,0.8571428571428571,-0.3890577507598785
0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,413.0,47.0,13.0,8.787234042553191,37.54545454545455,25.636363636363637,0.8461538461538461,-0.6513911620294586
0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,173.0,26.0,8.0,6.653846153846154,34.6,31.2,0.625,-0.8076923076923084
0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,177.0,17.0,5.0,10.411764705882353,35.4,20.4,1.0,-0.8235294117647065
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,105.0,13.0,4.0,8.076923076923077,35.0,26.0,0.75,-1.1538461538461533
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,146.0,17.0,5.0,8.588235294117647,36.5,25.5,0.8,-1.1764705882352935
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,147.0,17.0,5.0,8.647058823529411,36.75,25.5,0.8,-1.2941176470588225
0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,585.0,64.0,19.0,9.140625,36.5625,24.0,0.8421052631578947,-1.4391447368421062
0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,525.0,61.0,18.0,8.60655737704918,37.5,26.142857142857142,0.7777777777777778,-1.6575591985428044
0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,185.0,26.0,8.0,7.115384615384615,37.0,31.2,0.625,-1.73076923076923
0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,321.0,32.0,11.0,10.03125,32.1,19.2,0.9090909090909091,-1.8806818181818201
0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,301.0,31.0,8.0,9.709677419354838,43.0,26.571428571428573,0.875,-1.9193548387096762
0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,308.0,28.0,8.0,11.0,38.5,21.0,1.0,-2.0
0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,240.0,27.0,9.0,8.88888888888889,34.285714285714285,23.142857142857142,0.7777777777777778,-2.222222222222223
0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,675.0,72.0,20.0,9.375,42.1875,27.0,0.8,-2.75
0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,274.0,29.0,10.0,9.448275862068966,34.25,21.75,0.8,-2.8965517241379324
0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,161.0,16.0,7.0,10.0625,26.833333333333332,16.0,0.8571428571428571,-2.9821428571428577
0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,325.0,38.0,13.0,8.552631578947368,36.111111111111114,25.333333333333332,0.6923076923076923,-3.2591093117408896
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,116.0,12.0,5.0,9.666666666666666,29.0,18.0,0.8,-3.333333333333332
0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,266.0,29.0,8.0,9.172413793103448,44.333333333333336,29.0,0.75,-3.344827586206897
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,195.0,28.0,8.0,6.964285714285714,48.75,42.0,0.5,-3.928571428571429
0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,245.0,29.0,11.0,8.448275862068966,35.0,24.857142857142858,0.6363636363636364,-4.169278996865206
0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,149.0,17.0,9.0,8.764705882352942,24.833333333333332,17.0,0.6666666666666666,-4.196078431372552
0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,177.0,21.0,8.0,8.428571428571429,35.4,25.2,0.625,-4.357142857142858
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,107.0,12.0,3.0,8.916666666666666,53.5,36.0,0.6666666666666666,-4.5
0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,607.0,67.0,21.0,9.059701492537313,43.357142857142854,28.714285714285715,0.6666666666666666,-4.786069651741293
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,91.0,10.0,3.0,9.1,45.5,30.0,0.6666666666666666,-4.866666666666667
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,128.0,15.0,5.0,8.533333333333333,42.666666666666664,30.0,0.6,-5.066666666666666
0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,224.0,23.0,7.0,9.73913043478261,44.8,27.6,0.7142857142857143,-5.192546583850932
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,152.0,15.0,4.0,10.133333333333333,50.666666666666664,30.0,0.75,-5.266666666666666
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,179.0,19.0,6.0,9.421052631578947,44.75,28.5,0.6666666666666666,-5.508771929824562
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,106.0,10.0,3.0,10.6,53.0,30.0,0.6666666666666666,-7.866666666666667
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,135.0,15.0,4.0,9.0,67.5,45.0,0.5,-8.0
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,210.0,23.0,8.0,9.130434782608695,52.5,34.5,0.5,-8.26086956521739
0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,247.0,21.0,8.0,11.761904761904763,41.166666666666664,21.0,0.75,-8.523809523809526
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,151.0,17.0,9.0,8.882352941176471,37.75,25.5,0.4444444444444444,-8.875816993464053
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,215.0,25.0,10.0,8.6,53.75,37.5,0.4,-9.2
0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,278.0,26.0,10.0,10.692307692307692,46.333333333333336,26.0,0.6,-9.384615384615383
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,127.0,13.0,6.0,9.76923076923077,42.333333333333336,26.0,0.5,-9.53846153846154
0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,280.0,30.0,11.0,9.333333333333334,56.0,36.0,0.45454545454545453,-9.575757575757578
0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,301.0,34.0,13.0,8.852941176470589,60.2,40.8,0.38461538461538464,-10.013574660633484
0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,133.0,14.0,7.0,9.5,44.333333333333336,28.0,0.42857142857142855,-10.428571428571429
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,10.0,3.0,8.6,86.0,60.0,0.3333333333333333,-10.533333333333333
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,11.0,4.0,8.181818181818182,90.0,66.0,0.25,-11.363636363636363
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,198.0,19.0,9.0,10.421052631578947,49.5,28.5,0.4444444444444444,-11.953216374269005
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,198.0,23.0,8.0,8.608695652173912,99.0,69.0,0.25,-12.217391304347824
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,136.0,13.0,5.0,10.461538461538462,68.0,39.0,0.4,-12.923076923076923
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0,12.0,4.0,9.0,108.0,72.0,0.25,-13.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,12.0,3.0,10.666666666666666,128.0,72.0,0.3333333333333333,-14.666666666666666
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,186.0,17.0,6.0,10.941176470588236,93.0,51.0,0.3333333333333333,-15.215686274509805
0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,177.0,17.0,8.0,10.411764705882353,88.5,51.0,0.25,-15.823529411764707
