batter,total_runs,total_balls,dismissals,matches_played_x,batting_average,strike_rate,total_wickets,total_runs_conceded,total_overs,matches_played_y,economy,bowling_average,bowling_strike_rate,wickets_per_match,overall_score
RA Jadeja,1049.0,764.0,32.0,56.0,32.78125,137.30366492146598,53.0,1705.0,226.0,70.0,7.54424778761062,32.16981132075472,25.58490566037736,0.7571428571428571,37.3494695519291
C Green,707.0,472.0,20.0,28.0,35.35,149.78813559322032,20.0,634.0,74.0,29.0,8.567567567567568,31.7,22.2,0.6896551724137931,37.220595431784794
JJ Bumrah,33.0,41.0,4.0,16.0,8.25,80.48780487804879,89.0,1483.0,223.0,56.0,6.650224215246637,16.662921348314608,15.03370786516854,1.5892857142857142,37.05782683083077
KD Karthik,1188.0,798.0,49.0,71.0,24.244897959183675,148.87218045112783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.04790547798067
DA Warner,1861.0,1451.0,50.0,58.0,37.22,128.2563749138525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8172749827705
PP Shaw,1294.0,886.0,53.0,54.0,24.41509433962264,146.04966139954854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5344605817965
JM Sharma,730.0,501.0,32.0,36.0,22.8125,145.70858283433134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.985466566866265
SS Iyer,1543.0,1219.0,44.0,54.0,35.06818181818182,126.5791632485644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.83628719516743
JM Bairstow,1144.0,840.0,40.0,40.0,28.6,136.1904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.81809523809524
Q de Kock,1708.0,1281.0,56.0,58.0,30.5,133.33333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.81666666666666
AR Patel,879.0,674.0,36.0,51.0,24.416666666666668,130.4154302670623,55.0,1633.0,235.0,68.0,6.948936170212766,29.69090909090909,25.636363636363637,0.8088235294117647,35.686684301222215
RR Pant,1555.0,1198.0,48.0,57.0,32.395833333333336,129.79966611018364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.678683222036724
Abishek Porel,360.0,246.0,17.0,17.0,21.176470588235293,146.34146341463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.62123385939742
RA Tripathi,1480.0,1083.0,55.0,61.0,26.90909090909091,136.65743305632503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.40421388399228
MA Agarwal,1403.0,1054.0,48.0,49.0,29.229166666666668,133.11195445920302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.39114089184061
GJ Maxwell,1374.0,941.0,50.0,62.0,27.48,146.01487778958554,25.0,704.0,90.0,37.0,7.822222222222222,28.16,21.6,0.6756756756756757,35.316044626986184
P Simran Singh,745.0,518.0,35.0,34.0,21.285714285714285,143.82239382239382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.15019305019305
AT Rayudu,1048.0,809.0,38.0,47.0,27.57894736842105,129.54264524103831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.18221325873398
SM Curran,792.0,627.0,33.0,41.0,24.0,126.3157894736842,51.0,1546.0,165.0,50.0,9.36969696969697,30.313725490196077,19.41176470588235,1.02,34.123763955342895
CH Gayle,488.0,385.0,17.0,17.0,28.705882352941178,126.75324675324676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.962414056531706
SN Thakur,271.0,209.0,20.0,29.0,13.55,129.66507177033492,62.0,1741.0,199.0,58.0,8.748743718592964,28.080645161290324,19.258064516129032,1.0689655172413792,33.879837261708644
N Wadhera,350.0,261.0,15.0,16.0,23.333333333333332,134.09961685823754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.819923371647505
Abdul Samad,579.0,408.0,32.0,39.0,18.09375,141.91176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.81047794117647
R Powell,360.0,254.0,20.0,22.0,18.0,141.73228346456693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.74645669291339
DJ Mitchell,351.0,274.0,13.0,15.0,27.0,128.1021897810219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.720437956204385
M Shahrukh Khan,559.0,414.0,25.0,38.0,22.36,135.024154589372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7128309178744
MS Dhoni,811.0,631.0,31.0,59.0,26.161290322580644,128.52614896988908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.55361689075201
HH Pandya,1459.0,1078.0,50.0,67.0,29.18,135.34322820037104,25.0,815.0,92.0,33.0,8.858695652173912,32.6,22.08,0.7575757575757576,33.25676948724153
TA Boult,72.0,70.0,6.0,19.0,12.0,102.85714285714285,87.0,2083.0,267.0,71.0,7.801498127340824,23.942528735632184,18.413793103448278,1.2253521126760563,33.07547457026805
LS Livingstone,884.0,566.0,30.0,36.0,29.466666666666665,156.18374558303887,11.0,385.0,45.0,22.0,8.555555555555555,35.0,24.545454545454547,0.5,32.96563800549666
MM Ali,865.0,666.0,39.0,43.0,22.17948717948718,129.87987987987987,27.0,618.0,89.0,38.0,6.943820224719101,22.88888888888889,19.77777777777778,0.7105263157894737,32.9527079961734
